test_id,query,expected_tool,expected_args,expected_response_contains
E1,"What is Apple's stock price?","get_stock_price","{""ticker"":""AAPL""}","current price,AAPL"
E2,"Tell me about Microsoft (sector and industry).","get_company_info","{""ticker"":""MSFT""}","sector,industry,Microsoft"
E3,"Calculate key financial ratios for Google.","calculate_financial_ratios","{""ticker"":""GOOGL""}","P/E,ratios,GOOGL"
E4,"If I invest $1000 at 7% for 10 years, what is the future value?","calculate_investment_returns","{""principal"":1000,""annual_rate"":7,""years"":10}","future value,10 years"
E5,"Get Tesla’s stock price for today.","get_stock_price","{""ticker"":""TSLA""}","current price,TSLA"
M1,"Show Apple’s stock price history for the last 6 months.","get_stock_price","{""ticker"":""AAPL"",""period"":""6mo""}","6 months,price,AAPL"
M2,"Give me detailed company info for Amazon.","get_company_info","{""ticker"":""AMZN""}","employees,industry,Amazon"
M3,"What is Microsoft’s P/E and ROE?","calculate_financial_ratios","{""ticker"":""MSFT""}","P/E,ROE,MSFT"
M4,"If I invest $5000 at 8% for 15 years, what will it grow to?","calculate_investment_returns","{""principal"":5000,""annual_rate"":8,""years"":15}","future value,15 years"
M5,"Get Apple’s current price and basic stock info.","get_stock_price","{""ticker"":""AAPL"",""info"":true}","current price,market cap"
H1,"Get Apple’s current stock price and company sector in one answer.","[""get_stock_price"",""get_company_info""]","[{""ticker"":""AAPL""},{""ticker"":""AAPL""}]","AAPL,current price,sector"
H2,"For Microsoft, give me stock price (1mo) and key financial ratios.","[""get_stock_price"",""calculate_financial_ratios""]","[{""ticker"":""MSFT"",""period"":""1mo""},{""ticker"":""MSFT""}]","MSFT,1 month,P/E"
H3,"For Tesla, provide current price, company overview, and financial ratios.","[""get_stock_price"",""get_company_info"",""calculate_financial_ratios""]","[{""ticker"":""TSLA""},{""ticker"":""TSLA""},{""ticker"":""TSLA""}]","TSLA,current price,sector,P/E"
H4,"I have $10000. If I invest at 6% for 20 years with $200 monthly contributions, what is the future value?","calculate_investment_returns","{""principal"":10000,""annual_rate"":6,""years"":20,""monthly_contribution"":200}","future value,monthly,20 years"
H5,"Compare Apple vs Microsoft: get both stock prices and both sets of financial ratios.","[""get_stock_price"",""get_stock_price"",""calculate_financial_ratios"",""calculate_financial_ratios""]","[{""ticker"":""AAPL""},{""ticker"":""MSFT""},{""ticker"":""AAPL""},{""ticker"":""MSFT""}]","AAPL,MSFT,current price,P/E"
